"Closing_Price","YearSold","Living_Sq_Ft","Bedrooms","Bathrooms","Year_Built","Lot_Sq_Ft","Product_Type","Sale_Date","Subdivision_Name","Latitude","Longitude","Closing_Price_per_sqft"
391756,"2009-2013",2451,3,2.5,2007,7405,"SINGLE FAMILY","08/20/2013","NORTH STAR",45.6805578511,-111.193932406,159.835169318645
238203,"2005-2008",1344,2,2,1956,43560,"SINGLE FAMILY","09/02/2005","RAINBOW",45.648814,-111.187903,177.234375
252500,"2009-2013",2132,3,2.5,2003,6970,"SINGLE FAMILY","04/17/2012","HARVEST CREEK",45.687537,-111.080121,118.43339587242
113050,"2005-2008",2520,4,2.5,1973,219107,"SINGLE FAMILY","10/27/2005","CERTIFICATE SURV",45.652377,-110.99187,44.8611111111111
193750,"2009-2013",3872,4,4,2001,16553,"SINGLE FAMILY","06/29/2013","SUNDANCE SPRINGS SOUTHEAST",45.636208,-111.033821,50.0387396694215
270256,"2005-2008",1850,3,2,2007,7405,"SINGLE FAMILY","07/09/2007","NORTH STAR",45.680894,-111.192446,146.084324324324
251370,"2005-2008",926,2,1,1940,6098,"SINGLE FAMILY","01/02/2007","WEST PARK",45.674649,-111.051557,271.45788336933
254378,"2005-2008",4068,3,2.5,2008,87120,"SINGLE FAMILY","08/23/2007","OUTLAW COUNTRY",45.761327,-111.096466,62.531465093412
290272,"2005-2008",1490,4,2,1952,7405,"SINGLE FAMILY","02/28/2005","NORMANDY",45.674818,-111.056247,194.813422818792
205000,"2009-2013",1524,3,2.5,2005,2178,"TYPE UNKNOWN","08/05/2009","WALTON HOMESTEAD NBHD",45.686421,-111.0563,134.514435695538
274375,"2009-2013",1769,3,2,2010,8712,"SINGLE FAMILY","07/30/2010","NORTH STAR",45.6781270669,-111.193170605,155.101752402487
213267,"2005-2008",1999,3,2,2008,9583,"SINGLE FAMILY","08/29/2008","NORTH STAR",45.68161,-111.191985,106.686843421711
154687,"2009-2013",1320,3,2,1995,4792,"CONDOMINIUM","06/12/2013","BROOKSIDE",45.679894,-111.071271,117.187121212121
135793,"2005-2008",803,2,1,1896,5663,"SINGLE FAMILY","05/25/2005","PERKINS STONE",45.683132,-111.031506,169.107098381071
345800,"2005-2008",1894,3,2.5,2003,6970,"SINGLE FAMILY","12/09/2005","HARVEST CREEK",45.686792,-111.081976,182.576557550158
250000,"2009-2013",1139,4,1,1920,6970,"SINGLE FAMILY","09/08/2009","*Unknown or Custom Home",45.675022,-111.04255,219.490781387182
521250,"2009-2013",3430,5,2.5,1978,209524,"SINGLE FAMILY","07/29/2011","MINOR",45.716475,-111.099553,151.967930029155
336224,"2005-2008",2080,4,2,2005,6534,"SINGLE FAMILY","10/27/2006","HARVEST CREEK",45.692528,-111.080148,161.646153846154
204754,"2009-2013",1693,2,1,2004,439956,"SINGLE FAMILY","01/12/2011","CERTIFICATE SURV A COR",45.620042,-110.828499,120.941523922032
318668,"2005-2008",1804,4,2,2002,11326,"SINGLE FAMILY","01/09/2006","ELK GROVE",45.641492,-111.184083,176.645232815965
326562,"2009-2013",1941,4,3,1998,42253,"SINGLE FAMILY","06/19/2013","RAINBOW",45.650735,-111.194528,168.244204018547
228092,"2009-2013",1168,3,1,1904,6098,"SINGLE FAMILY","04/01/2010","TRACYS",45.681139,-111.040305,195.284246575342
226100,"2005-2008",1444,3,2.5,2003,3920,"SINGLE FAMILY","09/08/2005","BAXTER MEADOWS",45.700779,-111.091562,156.578947368421
394245,"2005-2008",1012,2,1,1923,12197,"SINGLE FAMILY","06/14/2006","ROUSES ND",45.676979,-111.029825,389.570158102767
302456,"2009-2013",2104,3,2,1940,9583,"SINGLE FAMILY","03/02/2011","BUTTE",45.670915,-111.037722,143.752851711027
328456,"2005-2008",1951,3,3,1998,8276,"SINGLE FAMILY","04/30/2007","BRENTWOOD",45.692766,-111.064937,168.352639671963
417088,"2005-2008",2109,3,2.5,2006,6970,"SINGLE FAMILY","04/03/2007","ALDER CREEK",45.646539,-111.053581,197.765765765766
267931,"2009-2013",2340,5,3,1963,9148,"SINGLE FAMILY","07/02/2012","UNIVERSITY",45.664518,-111.035286,114.500427350427
286216,"2005-2008",1821,3,2,1975,20473,"SINGLE FAMILY","06/24/2005","MIDDLE CREEK MEADOWS",45.66962,-111.178496,157.175178473366
296250,"2009-2013",2080,3,3,2000,12632,"SINGLE FAMILY","03/15/2012","WESTFIELD SO",45.644232,-111.045193,142.427884615385
168060,"2009-2013",1440,4,2,1989,10019,"SINGLE FAMILY","03/30/2012","VALLEY",45.685495,-111.088705,116.708333333333
314687,"2009-2013",1664,4,1,1947,4792,"SINGLE FAMILY","05/14/2012","BABCOCK DAVIS",45.684061,-111.028147,189.114783653846
1252642,"2009-2013",6829,4,5,2006,86684,"SINGLE FAMILY","03/20/2013","TRIPLE TREE RANCH",45.61303,-110.999673,183.429784741543
276640,"2005-2008",2043,3,2,1959,44431,"SINGLE FAMILY","06/01/2006","CERT SURVEY",45.747049,-111.086915,135.408712677435
155000,"2009-2013",896,2,1,1949,7405,"SINGLE FAMILY","11/17/2011","NORMANDY",45.674654,-111.056248,172.991071428571
163631,"2009-2013",1128,2,2,2010,5227,"SINGLE FAMILY","06/11/2010","OAK SPRINGS",45.688162,-111.088693,145.062943262411
224179,"2005-2008",1761,3,2.5,2008,6534,"SINGLE FAMILY","11/21/2008","OAK SPRINGS",45.691986,-111.088133,127.302101078932
248750,"2009-2013",1431,3,1,1924,7405,"SINGLE FAMILY","06/06/2013","BEALLS ND",45.683524,-111.036843,173.829489867226
1463000,"2005-2008",3240,4,4.5,2005,80150,"SINGLE FAMILY","04/26/2007","TRIPLE TREE RANCH",45.619852,-110.998542,451.543209876543
279300,"2005-2008",1710,3,2.5,2005,10019,"SINGLE FAMILY","10/04/2005","BAXTER MEADOWS",45.700496,-111.093477,163.333333333333
332381,"2005-2008",1792,3,2.5,2007,6098,"SINGLE FAMILY","03/28/2008","FOWLER PLACE",45.684397,-111.082288,185.48046875
225425,"2009-2013",2524,4,3.5,1985,57064,"SINGLE FAMILY","11/02/2010","EASTEDGE MEADOWS",45.669911,-111.002175,89.3125990491284
372732,"2005-2008",1168,3,2,1978,60113,"SINGLE FAMILY","07/30/2007","STAFFANSON",45.658322,-111.106092,319.119863013699
306375,"2009-2013",2956,4,2,2009,7405,"SINGLE FAMILY","07/31/2012","NORTH STAR",45.684079,-111.19302,103.645128552097
398933,"2005-2008",2103,4,2.5,2005,6970,"SINGLE FAMILY","12/18/2006","HARVEST CREEK",45.690403,-111.079597,189.697099381835
150000,"2009-2013",972,10,3,1900,16988,"SINGLE FAMILY","07/21/2013","BABCOCK DAVIS",45.685439,-111.027346,154.320987654321
107730,"2005-2008",2240,3,2,1983,43996,"SINGLE FAMILY","06/14/2005","WILDFLOWER",45.751927,-111.098275,48.09375
369673,"2005-2008",2304,12,4,1994,9583,"TYPE UNKNOWN","05/11/2006","WESTGATE",45.679913,-111.076404,160.448350694444
366388,"2005-2008",1862,3,2,1992,9583,"SINGLE FAMILY","07/07/2006","BRIDGER PEAKS ESTATES",45.681348,-111.086152,196.771213748657
276687,"2009-2013",2205,3,2,1997,42253,"SINGLE FAMILY","06/04/2012","RAINBOW",45.65037,-111.193201,125.481632653061
412300,"2005-2008",2626,3,2.5,1998,79715,"SINGLE FAMILY","11/28/2007","LAZY ESTATES",45.623462,-111.072372,157.006854531607
339150,"2005-2008",2320,4,3,1992,45302,"SINGLE FAMILY","07/17/2006","CLOVER MEADOWS",45.664139,-110.988469,146.185344827586
239400,"2005-2008",2204,3,2,2007,51401,"SINGLE FAMILY","08/01/2007","SUMMER RIDGE",45.753156,-111.040939,108.620689655172
456855,"2005-2008",2262,4,2.5,2003,12197,"SINGLE FAMILY","12/10/2007","ELK GROVE",45.642268,-111.188216,201.96949602122
758632,"2005-2008",3468,3,3.5,2004,4792,"TYPE UNKNOWN","06/08/2006","VILLAGE DOWNTOWN PUD",45.6806472211,-111.023659851,218.752018454441
172900,"2005-2008",2096,3,2,1987,60113,"SINGLE FAMILY","09/16/2005","SECOND PINE VIEW",45.597957,-111.074755,82.4904580152672
327180,"2005-2008",2920,5,3.5,2001,23087,"SINGLE FAMILY","09/30/2005","MOUNTAIN VIEW",45.743626,-111.110182,112.047945205479
447510,"2005-2008",2738,4,2.5,2008,12197,"SINGLE FAMILY","06/04/2007","ELK GROVE",45.643412,-111.184983,163.444119795471
95760,"2005-2008",1796,3,2,2003,7405,"SINGLE FAMILY","09/23/2005","HARVEST CREEK",45.685999,-111.079684,53.3184855233853
389000,"2009-2013",5773,6,5.5,2006,16117,"SINGLE FAMILY","12/29/2011","ELK GROVE",45.64198,-111.179067,67.3826433396847
273125,"2009-2013",1505,3,1,1930,240887,"SINGLE FAMILY","01/02/2013","WEST BERG TRACTS",45.655535,-110.940339,181.478405315615
285066,"2005-2008",3501,4,3.5,2007,15682,"SINGLE FAMILY","03/09/2007","SUNDANCE SPRINGS SOUTHEAST",45.636711,-111.034722,81.4241645244216
450870,"2005-2008",2824,4,3,1957,7841,"SINGLE FAMILY","07/09/2007","NORMANDY",45.674492,-111.055537,159.656515580737
203224,"2005-2008",1434,3,2.5,2004,2614,"TYPE UNKNOWN","04/28/2005","BROADWATER COURT",45.679274,-111.093165,141.718270571827
272562,"2009-2013",2202,3,2.5,2009,7405,"SINGLE FAMILY","06/22/2009","LEGENDS BRIDGER CREEK",45.704865,-111.015031,123.779291553134
369174,"2005-2008",5118,4,4,1999,50530,"SINGLE FAMILY","03/30/2005","SUMMER RIDGE",45.755643,-111.04241,72.1324736225088
332500,"2005-2008",1933,4,3,2001,44431,"SINGLE FAMILY","12/06/2006","CLOVER MEADOWS",45.665001,-110.98633,172.012415933782
345000,"2009-2013",2219,3,2.5,2001,15682,"SINGLE FAMILY","09/20/2012","SUNDANCE SPRINGS",45.638838,-111.036448,155.475439387111
259350,"2005-2008",1229,3,1,1950,7405,"SINGLE FAMILY","01/10/2006","NORMANDY",45.673833,-111.056254,211.025223759154
