"Start.station.number","Start.station","bikes.rented"
31000,"Eads St & 15th St S",4
31001,"18th & Eads St.",5
31002,"20th & Crystal Dr",17
31003,"15th & Crystal Dr",15
31004,"Aurora Hills Community Ctr/18th & Hayes St",5
31005,"Pentagon City Metro / 12th & S Hayes St",16
31006,"S Joyce & Army Navy Dr",14
31007,"Crystal City Metro / 18th & Bell St",22
31008,"12th & Army Navy Dr",17
31009,"27th & Crystal Dr",18
31010,"S Glebe & Potomac Ave",8
31011,"23rd & Crystal Dr",24
31012,"26th & S Clark St",8
31013,"23rd & Eads St",4
31014,"Lynn & 19th St North",39
31015,"Rosslyn Metro / Wilson Blvd & Ft Myer Dr",24
31016,"Clarendon Blvd & Pierce St",24
31017,"Wilson Blvd & N Uhle St",22
31018,"N Rhodes & 16th St N",4
31019,"Wilson Blvd & N Edgewood St",6
31020,"Wilson Blvd & Franklin Rd",11
31021,"Clarendon Blvd & N Fillmore St",13
31022,"Clarendon Metro / Wilson Blvd & N Highland St",26
31023,"Fairfax Dr & Wilson Blvd",15
31024,"Virginia Square Metro / N Monroe St & 9th St N",17
31025,"Central Library / N Quincy St & 10th St N",7
31026,"Washington Blvd & 10th St N",6
31027,"Key Blvd & N Quinn St",9
31028,"N Veitch & Key Blvd",9
31029,"N Veitch  & 20th St N",13
31030,"Lee Hwy & N Adams St",10
31031,"15th & N Scott St",4
31032,"Washington Blvd & 7th St N",3
31033,"Wilson Blvd & N Oakland St",1
31034,"N Randolph St & Fairfax Dr",9
31035,"N Quincy St & Glebe Rd",11
31036,"George Mason Dr & Wilson Blvd",4
31037,"Ballston Metro / N Stuart & 9th St N",29
31038,"Glebe Rd & 11th St N",8
31039,"N Quincy St & Wilson Blvd",13
31040,"Fairfax Dr & Kenmore St",9
31041,"Prince St & Union St",4
31042,"Market Square / King St & Royal St",15
31043,"Saint Asaph St & Pendleton  St",6
31044,"King St & Patrick St",6
31045,"Commerce St & Fayette St",4
31046,"Henry St & Pendleton St",1
31047,"Braddock Rd Metro",28
31048,"King St Metro South",8
31049,"Utah St & 11th St N ",5
31050,"Barton St & 10th St N",1
31051,"Arlington Blvd & N Queen St",5
31052,"Potomac Ave & 35th St S",12
31053,"Columbia Pike & S Courthouse Rd",8
31054,"Walter Reed Community Center / Walter Reed Dr & 16th St S",0
31055,"28th St S & S Meade St",0
31056,"S Troy St & 26th St S",2
31057,"S Four Mile Run Dr & S Shirlington Rd",0
31058,"S Oakland St & Columbia Pike",3
31059,"S Four Mile Run & Walter Reed Dr",1
31060,"S Arlington Mill Dr & Campbell Ave",2
31061,"S Kenmore & 24th St S",1
31062,"S George Mason Dr & 13th St S",1
31063,"S George Mason Dr & Four Mile Run",1
31064,"S Stafford & 34th St S",0
31065,"N Pershing Dr & Wayne St",7
31066,"Columbia Pike & S Orme St",1
31067,"Columbia Pike & S Walter Reed Dr",3
31068,"Columbia Pike & S Dinwiddie St / Arlington Mill Community Center",1
31069,"Pershing & N George Mason Dr",4
31070,"Arlington Blvd & Fillmore St",4
31071,"Long Bridge Park/Long Bridge Dr & 6th St S",0
31072,"31st & Woodrow St S",0
31073,"Washington Blvd & Walter Reed Dr ",2
31074,"TJ Cmty Ctr / 2nd St & S Old Glebe Rd",3
31075,"Rolfe St & 9th St S",1
31076,"Shirlington Transit Center / S Quincy & Randolph St",3
31077,"Iwo Jima Memorial/N Meade & 14th St N",29
31078,"Arlington Blvd & S George Mason Dr/NFATC",6
31079,"Lee Hwy & N Cleveland St",10
31080,"Lee Hwy & N Scott St",5
31081,"Duke St & John Carlyle St",0
31082,"Eisenhower Ave & Mill Race Ln",1
31083,"Potomac Greens Dr & Slaters Ln",3
31084,"Ballenger Ave & Dulaney St",14
31085,"Mount Vernon Ave & E Nelson Ave",5
31086,"Mount Vernon Ave & E Del Ray Ave",7
31087,"Monroe Ave & Leslie Ave",3
